Size (Bytes),	Line Size (Bytes),	Associativity,	Num Banks,	Technology Node (um),	Operating Temp (K),	Cycle time (s),	Per-Byte Read Energy (J),	Per-Byte Write Energy (J),	Static Power (W),	Area (mm2),
67108864,	138,	2,	1,	0.065,	360,	4.95442e-10,	1.96468e-08,	3.4672900000000003e-08,	100.506,	943.149,
67108864,	139,	2,	1,	0.065,	360,	4.94484e-10,	1.94072e-08,	2.69043e-08,	100.046,	952.913,
67108864,	140,	2,	1,	0.065,	360,	4.94353e-10,	1.95845e-08,	2.7097000000000004e-08,	100.264,	955.979,
67108864,	141,	2,	1,	0.065,	360,	4.93397e-10,	1.974e-08,	2.7235000000000002e-08,	99.9993,	957.104,
67108864,	142,	2,	1,	0.065,	360,	4.92443e-10,	1.99234e-08,	2.74001e-08,	99.7356,	960.682,
67108864,	143,	2,	1,	0.065,	360,	4.964160000000001e-10,	2.0042200000000003e-08,	2.7655500000000002e-08,	99.7854,	960.601,
67108864,	144,	2,	1,	0.065,	360,	4.913620000000001e-10,	2.06743e-08,	3.5616100000000005e-08,	99.74980000000001,	958.573,
67108864,	145,	2,	1,	0.065,	360,	4.911110000000001e-10,	2.08738e-08,	3.5866000000000005e-08,	100.004,	962.703,
67108864,	146,	2,	1,	0.065,	360,	4.909870000000001e-10,	2.1060400000000003e-08,	3.6076600000000004e-08,	100.123,	966.526,
67108864,	147,	2,	1,	0.065,	360,	4.941350000000001e-10,	2.0746300000000002e-08,	2.83583e-08,	99.53810000000001,	971.171,
67108864,	148,	2,	1,	0.065,	360,	4.94012e-10,	2.0898e-08,	2.8542400000000004e-08,	99.4148,	974.128,
67108864,	149,	2,	1,	0.065,	360,	4.93065e-10,	2.10996e-08,	2.87004e-08,	99.30080000000001,	976.513,
67108864,	150,	2,	1,	0.065,	360,	4.92944e-10,	2.12868e-08,	2.88985e-08,	99.3929,	980.254,
67108864,	151,	2,	1,	0.065,	360,	4.92824e-10,	2.1475100000000004e-08,	2.9096900000000004e-08,	99.4825,	983.977,
67108864,	152,	2,	1,	0.065,	360,	4.877870000000001e-10,	2.21114e-08,	3.7044500000000005e-08,	99.3804,	980.607,
67108864,	153,	2,	1,	0.065,	360,	4.88378e-10,	2.23466e-08,	3.7383600000000004e-08,	99.9855,	987.433,
67108864,	154,	2,	1,	0.065,	360,	4.87438e-10,	2.25066e-08,	3.748830000000001e-08,	99.596,	987.906,
67108864,	155,	2,	1,	0.065,	360,	4.924490000000001e-10,	2.22254e-08,	2.98569e-08,	99.3863,	996.405,
67108864,	156,	2,	1,	0.065,	360,	4.92587e-10,	2.2411200000000002e-08,	3.0071600000000004e-08,	99.22189999999999,	1001.53,
67108864,	157,	2,	1,	0.065,	360,	4.91643e-10,	2.2572500000000002e-08,	3.02041e-08,	98.8053,	1001.89,
67108864,	158,	2,	1,	0.065,	360,	4.91525e-10,	2.2764600000000004e-08,	3.0403e-08,	98.8473,	1005.43,
67108864,	159,	2,	1,	0.065,	360,	5.59663e-10,	2.3274000000000004e-08,	2.70035e-08,	90.5659,	1042.47,
67108864,	160,	2,	1,	0.065,	360,	4.86381e-10,	2.36507e-08,	3.8560400000000004e-08,	98.94510000000001,	1005.89,
67108864,	161,	2,	1,	0.065,	360,	4.86979e-10,	2.38925e-08,	3.8893500000000003e-08,	99.47210000000001,	1012.44,
67108864,	162,	2,	1,	0.065,	360,	4.868670000000001e-10,	2.40886e-08,	3.90972e-08,	99.4915,	1015.87,
67108864,	163,	2,	1,	0.065,	360,	5.66081e-10,	2.40645e-08,	2.77573e-08,	90.1046,	1053.66,
67108864,	164,	2,	1,	0.065,	360,	4.899040000000001e-10,	2.3948400000000002e-08,	3.1584700000000005e-08,	98.5209,	1025.43,
67108864,	165,	2,	1,	0.065,	360,	4.897940000000001e-10,	2.4145000000000002e-08,	3.17846e-08,	98.5205,	1028.82,
67108864,	166,	2,	1,	0.065,	360,	6.48556e-10,	2.4238700000000003e-08,	2.6014e-08,	89.7414,	1075.73,
67108864,	167,	2,	1,	0.065,	360,	4.895780000000001e-10,	2.4540500000000004e-08,	3.2185200000000004e-08,	98.5073,	1035.53,
67108864,	168,	2,	1,	0.065,	360,	4.894720000000001e-10,	2.52078e-08,	4.05015e-08,	98.43260000000001,	1036.85,
67108864,	169,	2,	1,	0.065,	360,	4.89262e-10,	2.54213e-08,	4.0721e-08,	98.3863,	1039.67,
67108864,	170,	2,	1,	0.065,	360,	4.891590000000001e-10,	2.5597000000000004e-08,	4.08978e-08,	98.54830000000001,	1038.72,
67108864,	171,	2,	1,	0.065,	360,	5.799170000000001e-10,	2.56938e-08,	2.94014e-08,	89.0847,	1085.82,
67108864,	172,	2,	1,	0.065,	360,	6.556560000000001e-10,	2.5487500000000002e-08,	2.7258e-08,	89.2409,	1102.85,
67108864,	173,	2,	1,	0.065,	360,	6.578300000000001e-10,	2.57181e-08,	2.74927e-08,	89.3781,	1108.88,
67108864,	174,	2,	1,	0.065,	360,	6.5901e-10,	2.59273e-08,	2.77013e-08,	89.3223,	1113.28,
67108864,	175,	2,	1,	0.065,	360,	6.60194e-10,	2.61367e-08,	2.79102e-08,	89.25150000000001,	1117.64,
67108864,	176,	2,	1,	0.065,	360,	6.613830000000001e-10,	2.6346900000000002e-08,	2.81196e-08,	89.1765,	1121.98,
67108864,	177,	2,	1,	0.065,	360,	6.63588e-10,	2.65907e-08,	2.8367000000000002e-08,	89.2921,	1128.91,
67108864,	178,	2,	1,	0.065,	360,	6.647880000000001e-10,	2.6819900000000002e-08,	2.85952e-08,	89.2199,	1134.5,
67108864,	179,	2,	1,	0.065,	360,	6.65993e-10,	2.7032400000000002e-08,	2.88067e-08,	89.1315,	1138.81,
67108864,	180,	2,	1,	0.065,	360,	6.67202e-10,	2.72457e-08,	2.90189e-08,	89.039,	1143.11,
67108864,	181,	2,	1,	0.065,	360,	6.400380000000001e-10,	2.76743e-08,	4.28908e-08,	97.3695,	1138.78,
67108864,	182,	2,	1,	0.065,	360,	6.349260000000001e-10,	2.79562e-08,	4.2982700000000005e-08,	97.4764,	1145.02,
67108864,	183,	2,	1,	0.065,	360,	6.33998e-10,	2.81194e-08,	4.3135e-08,	97.3514,	1147.95,
67108864,	184,	2,	1,	0.065,	360,	6.33072e-10,	2.82777e-08,	4.32816e-08,	97.24910000000001,	1150.08,
67108864,	185,	2,	1,	0.065,	360,	6.32891e-10,	2.8470400000000005e-08,	4.353370000000001e-08,	97.5802,	1155.58,
67108864,	186,	2,	1,	0.065,	360,	6.31969e-10,	2.86178e-08,	4.3667400000000005e-08,	97.4654,	1156.94,
67108864,	187,	2,	1,	0.065,	360,	6.310470000000001e-10,	2.87652e-08,	4.38002e-08,	97.34580000000001,	1158.26,
67108864,	188,	2,	1,	0.065,	360,	6.30127e-10,	2.8923900000000003e-08,	4.3943500000000006e-08,	97.2212,	1160.25,
67108864,	189,	2,	1,	0.065,	360,	6.29208e-10,	2.9071300000000002e-08,	4.40746e-08,	97.0917,	1161.5,
67108864,	190,	2,	1,	0.065,	360,	6.282910000000001e-10,	2.92186e-08,	4.4204900000000006e-08,	96.9573,	1162.71,
67108864,	191,	2,	1,	0.065,	360,	6.28572e-10,	2.94031e-08,	4.4415500000000005e-08,	97.0972,	1166.47,
67108864,	192,	2,	1,	0.065,	360,	6.27656e-10,	2.9627400000000003e-08,	3.7124400000000004e-08,	97.0095,	1203.43,
67108864,	193,	2,	1,	0.065,	360,	6.274920000000001e-10,	2.9803700000000004e-08,	3.73255e-08,	97.2749,	1207.03,
67108864,	194,	2,	1,	0.065,	360,	6.26579e-10,	2.99751e-08,	3.74867e-08,	97.1199,	1209.69,
67108864,	195,	2,	1,	0.065,	360,	6.265e-10,	3.0162e-08,	3.7685400000000005e-08,	97.24510000000001,	1213.53,
